item_id,item_name,item_level,item_slot,weapon_or_ammo_type,era,era_evidence,configuration_source,modifier_or_script_source,profile_family,profile_source,field_classifications,active_call_path,proc_type,subeffect,proc_chance,proc_policy,level_correction,base_power_policy,accuracy_or_skill_basis,governing_stat_or_dstat,mab_policy,multiplier_policies,resistance_mode,element,damage_type,potency_or_damage,duration,status_effect,immunity_handling,nullification_handling,absorb_handling,message_id,special_target_or_nm_rule,level_sync_behavior,current_handler,handler_reachable,automated_test_reference,evidence_sources,evidence_confidence,current_classification,unresolved_questions
10714,duelists_tights_+2,90,LEGS,EQUIPMENT,ERA_UNRESOLVED,No introduction-era metadata exists in active repository item tables,SQL_MODIFIERS,sql/item_mods.sql:2918,,,,NO_REACHABLE_RUNTIME_PATH,UNSELECTED,,,,,,N/A,N/A,,,NONE_OR_HANDLER_SPECIFIC,,N/A,5,,,HANDLER_SPECIFIC,HANDLER_SPECIFIC,HANDLER_SPECIFIC,FAMILY_DEFAULT_OR_SCRIPT_RETURN,NONE_RECORDED,GetScaledItemModifier returns zero for unsupported synced mods,NOT_ACTIVE,NO,,,HIGH,CONFIGURATION_ERROR,additional-effect modifiers have no active handler selector; item-specific retail numerics
11392,koschei_crackows,71,FEET,EQUIPMENT,ERA_UNRESOLVED,No introduction-era metadata exists in active repository item tables,SQL_MODIFIERS,sql/item_mods.sql:6848;sql/item_mods.sql:6849;sql/item_mods.sql:6850,,,,melee reaction -> battleutils::HandleSpikesDamage -> HandleSpikesEquip,EQUIPMENT_SPIKES,EARTH_DAMAGE_OR_CURSE_SPIKES,20,,,,N/A,N/A,,,NONE_OR_HANDLER_SPECIFIC,,N/A,0,,,HANDLER_SPECIFIC,HANDLER_SPECIFIC,HANDLER_SPECIFIC,FAMILY_DEFAULT_OR_SCRIPT_RETURN,NONE_RECORDED,GetScaledItemModifier returns zero for unsupported synced mods,CXX_EQUIPMENT_SPIKES,YES,,,HIGH_FRAMEWORK_LOW_RETAIL_NUMERICS,VERIFY_LIVE,equipment auto-spikes retail formula
11402,gothic_sabatons,43,FEET,EQUIPMENT,ERA_UNRESOLVED,No introduction-era metadata exists in active repository item tables,SQL_MODIFIERS,sql/item_mods.sql:6919;sql/item_mods.sql:6920;sql/item_mods.sql:6921,,,,melee reaction -> battleutils::HandleSpikesDamage -> HandleSpikesEquip,EQUIPMENT_SPIKES,ICE_DAMAGE,15,,,,N/A,N/A,,,NONE_OR_HANDLER_SPECIFIC,,N/A,15,,,HANDLER_SPECIFIC,HANDLER_SPECIFIC,HANDLER_SPECIFIC,FAMILY_DEFAULT_OR_SCRIPT_RETURN,NONE_RECORDED,GetScaledItemModifier returns zero for unsupported synced mods,CXX_EQUIPMENT_SPIKES,YES,,,HIGH_FRAMEWORK_LOW_RETAIL_NUMERICS,VERIFY_LIVE,equipment auto-spikes retail formula
11433,dornen_schuhs,84,FEET,EQUIPMENT,ERA_UNRESOLVED,No introduction-era metadata exists in active repository item tables,SQL_MODIFIERS,sql/item_mods.sql:7107;sql/item_mods.sql:7108;sql/item_mods.sql:7109,,,,melee reaction -> battleutils::HandleSpikesDamage -> HandleSpikesEquip,EQUIPMENT_SPIKES,LIGHTNING_DAMAGE,25,,,,N/A,N/A,,,NONE_OR_HANDLER_SPECIFIC,,N/A,20,,,HANDLER_SPECIFIC,HANDLER_SPECIFIC,HANDLER_SPECIFIC,FAMILY_DEFAULT_OR_SCRIPT_RETURN,NONE_RECORDED,GetScaledItemModifier returns zero for unsupported synced mods,CXX_EQUIPMENT_SPIKES,YES,,,HIGH_FRAMEWORK_LOW_RETAIL_NUMERICS,VERIFY_LIVE,equipment auto-spikes retail formula
11921,magma_gauntlets,93,HANDS,EQUIPMENT,ERA_UNRESOLVED,No introduction-era metadata exists in active repository item tables,SQL_MODIFIERS,sql/item_mods.sql:9740;sql/item_mods.sql:9741;sql/item_mods.sql:9742,,,,melee reaction -> battleutils::HandleSpikesDamage -> HandleSpikesEquip,EQUIPMENT_SPIKES,FIRE_DAMAGE,15,,,,N/A,N/A,,,NONE_OR_HANDLER_SPECIFIC,,N/A,20,,,HANDLER_SPECIFIC,HANDLER_SPECIFIC,HANDLER_SPECIFIC,FAMILY_DEFAULT_OR_SCRIPT_RETURN,NONE_RECORDED,GetScaledItemModifier returns zero for unsupported synced mods,CXX_EQUIPMENT_SPIKES,YES,,,HIGH_FRAMEWORK_LOW_RETAIL_NUMERICS,VERIFY_LIVE,equipment auto-spikes retail formula
11948,stanch_cuisses,86,LEGS,EQUIPMENT,ERA_UNRESOLVED,No introduction-era metadata exists in active repository item tables,SQL_MODIFIERS,sql/item_mods.sql:9905;sql/item_mods.sql:9906;sql/item_mods.sql:9907,,,,melee reaction -> battleutils::HandleSpikesDamage -> HandleSpikesEquip,EQUIPMENT_SPIKES,ICE_DAMAGE,15,,,,N/A,N/A,,,NONE_OR_HANDLER_SPECIFIC,,N/A,15,,,HANDLER_SPECIFIC,HANDLER_SPECIFIC,HANDLER_SPECIFIC,FAMILY_DEFAULT_OR_SCRIPT_RETURN,NONE_RECORDED,GetScaledItemModifier returns zero for unsupported synced mods,CXX_EQUIPMENT_SPIKES,YES,,,HIGH_FRAMEWORK_LOW_RETAIL_NUMERICS,VERIFY_LIVE,equipment auto-spikes retail formula
12305,ice_shield,72,SUB,EQUIPMENT,ERA_UNRESOLVED,No introduction-era metadata exists in active repository item tables,SQL_MODIFIERS,sql/item_mods.sql:11886;sql/item_mods.sql:11887;sql/item_mods.sql:11888,,,,melee reaction -> battleutils::HandleSpikesDamage -> HandleSpikesEquip,EQUIPMENT_SPIKES,ICE_DAMAGE,25,,,,N/A,N/A,,,NONE_OR_HANDLER_SPECIFIC,,N/A,20,,,HANDLER_SPECIFIC,HANDLER_SPECIFIC,HANDLER_SPECIFIC,FAMILY_DEFAULT_OR_SCRIPT_RETURN,NONE_RECORDED,GetScaledItemModifier returns zero for unsupported synced mods,CXX_EQUIPMENT_SPIKES,YES,,,HIGH_FRAMEWORK_LOW_RETAIL_NUMERICS,VERIFY_LIVE,equipment auto-spikes retail formula
12317,flame_shield,58,SUB,EQUIPMENT,ERA_UNRESOLVED,No introduction-era metadata exists in active repository item tables,SQL_MODIFIERS,sql/item_mods.sql:11935;sql/item_mods.sql:11936;sql/item_mods.sql:11937,,,,melee reaction -> battleutils::HandleSpikesDamage -> HandleSpikesEquip,EQUIPMENT_SPIKES,FIRE_DAMAGE,20,,,,N/A,N/A,,,NONE_OR_HANDLER_SPECIFIC,,N/A,20,,,HANDLER_SPECIFIC,HANDLER_SPECIFIC,HANDLER_SPECIFIC,FAMILY_DEFAULT_OR_SCRIPT_RETURN,NONE_RECORDED,GetScaledItemModifier returns zero for unsupported synced mods,CXX_EQUIPMENT_SPIKES,YES,,,HIGH_FRAMEWORK_LOW_RETAIL_NUMERICS,VERIFY_LIVE,equipment auto-spikes retail formula
12357,ice_shield_+1,72,SUB,EQUIPMENT,ERA_UNRESOLVED,No introduction-era metadata exists in active repository item tables,SQL_MODIFIERS,sql/item_mods.sql:12107;sql/item_mods.sql:12108;sql/item_mods.sql:12109,,,,melee reaction -> battleutils::HandleSpikesDamage -> HandleSpikesEquip,EQUIPMENT_SPIKES,ICE_DAMAGE,30,,,,N/A,N/A,,,NONE_OR_HANDLER_SPECIFIC,,N/A,25,,,HANDLER_SPECIFIC,HANDLER_SPECIFIC,HANDLER_SPECIFIC,FAMILY_DEFAULT_OR_SCRIPT_RETURN,NONE_RECORDED,GetScaledItemModifier returns zero for unsupported synced mods,CXX_EQUIPMENT_SPIKES,YES,,,HIGH_FRAMEWORK_LOW_RETAIL_NUMERICS,VERIFY_LIVE,equipment auto-spikes retail formula
12597,war_aketon,70,BODY,EQUIPMENT,ERA_UNRESOLVED,No introduction-era metadata exists in active repository item tables,SQL_MODIFIERS,sql/item_mods.sql:13259;sql/item_mods.sql:13260;sql/item_mods.sql:13261,,,,melee reaction -> battleutils::HandleSpikesDamage -> HandleSpikesEquip,EQUIPMENT_SPIKES,FIRE_DAMAGE,25,,,,N/A,N/A,,,NONE_OR_HANDLER_SPECIFIC,,N/A,25,,,HANDLER_SPECIFIC,HANDLER_SPECIFIC,HANDLER_SPECIFIC,FAMILY_DEFAULT_OR_SCRIPT_RETURN,NONE_RECORDED,GetScaledItemModifier returns zero for unsupported synced mods,CXX_EQUIPMENT_SPIKES,YES,,,HIGH_FRAMEWORK_LOW_RETAIL_NUMERICS,VERIFY_LIVE,equipment auto-spikes retail formula
